word,translation_cs
slyly,mazaně
smack,smeknout
small,malý
smart,chytrý
smash,rozbít
smear,namazat
smell,vůně
smelt,zapáchat
smile,úsměv
smirk,úšklebek
smite,udeřit
smith,kovář
smock,plášť
smoke,kouřit
smoky,zakouřený
smote,udeřil
snack,svačina
snail,hlemýžď
snake,had
snaky,hadovitý
snare,nástraha
snarl,vrčet
sneak,plížit se
sneer,pošklebovat se
snide,výsměch
sniff,přičichnout
snipe,sluka
snoop,slídit
snore,chrápat
snort,odfrknout si
snout,čenich
snowy,zasněžené
snuck,připlížil se
snuff,šňupací tabák
soapy,mýdlový
sober,střízlivý
soggy,mokrý
solar,solární
solid,pevný
solve,řešit
sonar,sonar
sonic,sonický
sooth,uklidnit
sooty,saze
sorry,promiň
sound,zvuk
south,jih
sower,rozsévač
space,prostor
spade,rýč
spank,naplácat
spare,náhradní
spark,jiskra
spasm,křeč
spawn,spawn
speak,mluvit
spear,kopí
speck,smítko
speed,rychlost
spell,kouzlo
spelt,špalda
spend,utrácet
spent,strávil
sperm,spermie
spice,koření
spicy,pikantní
spied,špehoval
spiel,spiel
spike,hrot
spiky,špičatý
spill,rozlít
spilt,rozlitý
spine,páteře
spiny,ostnatý
spire,věž
spite,navzdory
splat,splat
split,rozdělit
spoil,zkazit
spoke,mluvil
spoof,podvrh
spook,strašidlo
spool,cívka
spoon,lžíce
spore,spor
sport,sport
spout,výtok
spray,sprej
spree,řádění
sprig,snítka
spunk,odvaha
spurn,zavrhnout
spurt,spurt
squad,četa
squat,dřep
squib,squib
stack,zásobník
staff,personál
stage,etapa
staid,zůstal
stain,skvrna
stair,schodiště
stake,kůl
stale,zatuchlý
stalk,stopka
stall,stání
stamp,razítko
stand,stát
stank,páchnout
stare,zírat
stark,strohý
start,začít
stash,skrýš
state,stát
stave,houpačka
stead,místo
steak,steak
steal,krást
steam,pára
steed,oř
steel,ocel
steep,strmé
steer,řídit
stein,stein
stern,záď
stick,hůl
stiff,tuhý
still,stále
stilt,chůda
sting,bodnout
stink,smrad
stint,stint
stock,zásoby
stoic,stoický
stoke,stoke
stole,ukradl
stomp,dupat
stone,kámen
stony,kamenitý
stood,stál
stool,stolice
stoop,sklonit se
store,obchod
stork,čáp
storm,bouře
story,příběh
stout,statný
stove,sporák
strap,popruh
straw,sláma
stray,zbloudilý
strip,proužek
strut,vzpěra
stuck,uvízl
study,studium
stuff,věci
stump,pahýl
stung,bodnutý
stunk,zapáchal
stunt,kaskadérský kousek
style,styl
suave,zdvořilý
sugar,cukru
suing,žalovat
suite,apartmá
sulky,rozmrzelý
sully,špinavý
sumac,škumpa
sunny,slunečno
super,super
surer,jistější
surge,přepětí
surly,nevrlý
sushi,sushi
swami,svámí
swamp,bažina
swarm,roj
swash,swash
swath,pokos
swear,přísahat
sweat,pot
sweep,zamést
sweet,sladké
swell,bobtnat
swept,zametl
swift,rychlý
swill,pomyj
swine,prase
swing,houpačka
swirl,vířit
swish,svištět
swoon,omdlít
swoop,úlet
sword,meč
swore,přísahal
sworn,přísežný
swung,rozhoupal se
synod,synod
syrup,sirup
tabby,mourovatá
table,stůl
taboo,tabu
tacit,tichý
tacky,nevkusný
taffy,taffy
taint,poskvrnit
taken,přijato
taker,příjemce
tally,spočítat
talon,dráp
tamer,krotitel
tango,tango
tangy,kyselý
taper,zúžení
tapir,tapír
tardy,zpoždění
tarot,tarot
taste,chuť
tasty,chutné
tatty,špinavý
taunt,posmívat se
tawny,žlutohnědý
teach,učit
teary,slzavý
tease,škádlit
teddy,medvídek
teeth,zuby
tempo,tempo
tenet,princip
tenor,tenor
tense,napjatý
tenth,desátý
tepee,týpí
tepid,vlažný
terra,terra
terse,stručný
testy,podrážděný
thank,děkuji
theft,krádež
their,jejich
theme,téma
there,tam
these,tyto
theta,theta
thick,tlustý
thief,zloděj
thigh,stehno
thing,věc
think,myslet
third,třetí
thong,tanga
thorn,trn
those,těch
three,tři
threw,hodil
throb,bušit
throw,hodit
thrum,úder
thumb,palec
thump,bouchnout
thyme,tymián
tiara,diadém
tibia,holenní kost
tidal,přílivový
tiger,tygr
tight,těsné
tilde,vlnovka
timer,časovač
timid,bázlivý
tipsy,opilý
titan,titán
tithe,desátek
title,titul
toast,přípitek
today,dnes
toddy,toddy
token,žeton
tonal,tonální
tonga,tonga
tonic,tonikum
tooth,zub
topaz,topaz
topic,téma
torch,pochodeň
torso,trup
torus,torus
total,celkem
totem,totem
touch,dotknout se
tough,tvrdý
towel,ručník
tower,věž
toxic,toxický
toxin,toxin
trace,stopa
track,trať
tract,traktu
trade,obchodu
trail,stezka
train,vlak
trait,vlastnost
tramp,tulák
trash,odpadky
trawl,vlečnou sítí
tread,šlapat
treat,léčit
trend,trend
triad,triáda
trial,soud
tribe,kmen
trice,trice
trick,trik
tried,zkusil
tripe,dršťky
trite,banální
troll,troll
troop,tlupa
trope,trop
trout,pstruh
trove,trove
truce,příměří
truck,nákladní auto
truer,pravdivější
truly,opravdu
trump,trumf
trunk,kufr
truss,vazník
trust,důvěřovat
truth,pravda
tryst,pokus
tubal,tubární
tuber,hlíza
tulip,tulipán
tulle,tylu
tumor,nádor
tunic,tunika
turbo,turbo
tutor,tutor
twang,twang
tweak,vyladit
tweed,tvíd
tweet,tweetovat
twice,dvakrát
twine,motouz
twirl,kroutit se
twist,kroutit
twixt,twixt
tying,vázání
udder,vemeno
ulcer,vřed
ultra,ultra
umbra,umbra
uncle,strýc
uncut,nesestříhaný
under,pod
undid,rozvázaný
undue,nepatřičné
unfed,nenažraný
unfit,nevhodný
unify,sjednotit
union,unie
unite,sjednotit se
unity,jednota
unlit,neosvětlený
unmet,nesplněno
unset,odstaveno
untie,rozvázat
until,dokud
unwed,nemanželský
unzip,rozepnout
upper,horní
upset,naštvaný
urban,městský
urine,moč
usage,použití
usher,uvaděč
using,pomocí
usual,obvyklé
usurp,uzurpovat
utile,užitečné
utter,vyslovit
vague,vágní
valet,komorník
valid,platný
valor,udatnost
value,hodnotu
valve,ventil
vapid,prázdný
vapor,pára
vault,klenba
vaunt,chlubit se
vegan,veganské
venom,jed
venue,místo konání
verge,krajnice
verse,verš
verso,naopak
verve,verva
vicar,vikář
video,video
vigil,bdění
vigor,ráznost
villa,vila
vinyl,vinyl
viola,viola
viper,zmije
viral,virový
virus,virus
visit,navštívit
visor,hledí
vista,výhled
vital,vitální
vivid,živé
vixen,liška
vocal,vokální
vodka,vodka
vogue,móda
voice,hlas
voila,voila
vomit,zvracet
voter,volič
vouch,ručit
vowel,samohláska
vying,soupeřící
wacky,šílený
wafer,oplatka
wager,vsadit
wagon,vůz
waist,pasu
waive,vzdát se
waltz,valčík
warty,bradavičnatý
waste,odpad
watch,sledovat
water,voda
waver,kolísat
waxen,voskovat
weary,unavený
weave,tkát
wedge,klín
weedy,zaplevelený
weigh,vážit
weird,divný
welch,welch
welsh,velština
wench,děvče
whack,rána
whale,velryba
wharf,přístaviště
wheat,pšenice
wheel,kolo
whelp,mládě
where,kde
which,které
whiff,závan
while,zatímco
whine,fňukat
whiny,kňučící
whirl,vířit
whisk,metla
white,bílá
whole,celý
whoop,jupí
whose,čí
widen,rozšířit
wider,širší
widow,vdova
width,šířka
wield,ovládat
wight,hmotnost
willy,vůle
wimpy,slaboch
wince,škubnout
winch,naviják
windy,větrno
wiser,moudřejší
wispy,jemný
witch,čarodějnice
witty,duchaplný
woken,probuzený
woman,žena
women,ženy
woody,dřevitý
wooer,wooer
wooly,vlněný
woozy,woozy
wordy,rozvláčný
world,svět
worry,starosti
worse,horší
worst,nejhorší
worth,hodnotu
would,by
wound,rána
woven,tkané
wrack,vrak
wrath,hněv
wreak,způsobit
wreck,vrak
wrest,zápasit
wring,ždímat
wrist,zápěstí
write,napsat
wrong,špatně
wrote,napsal
wrung,vyždímaný
wryly,ironicky
yacht,jachta
yearn,toužit
yeast,kvasnice
yield,výnos
young,mladý
youth,mládí
zebra,zebra
zesty,pikantní
zonal,zonální
